timestamp,x,y,z,mag,lat,long,tipo
2026-02-10T06:36:43.974849,-0.0354,0.0134,-0.1825,0.1019,0.0,0.0,STREAM
2026-02-10T06:36:44.166491,0.0040,0.0143,-0.1484,0.1071,0.0,0.0,STREAM
2026-02-10T06:36:44.359791,0.0108,0.0091,-0.0957,0.1043,0.0,0.0,STREAM
2026-02-10T06:36:44.553930,0.0387,0.0540,-0.1006,0.1030,0.0,0.0,STREAM
2026-02-10T06:36:44.747218,-0.0255,0.0286,-0.2109,0.1197,0.0,0.0,STREAM
2026-02-10T06:36:44.944852,0.0466,0.0490,-0.1699,0.1271,0.0,0.0,STREAM
2026-02-10T06:36:45.134776,0.0500,0.0234,-0.1133,0.1251,0.0,0.0,STREAM
2026-02-10T06:36:45.330302,0.0490,0.0818,-0.1086,0.1252,0.0,0.0,STREAM
2026-02-10T06:36:45.522014,0.0336,0.0936,-0.0662,0.1205,0.0,0.0,STREAM
2026-02-10T06:36:45.717042,0.0469,0.0735,-0.0562,0.1152,0.0,0.0,STREAM
2026-02-10T06:36:45.911719,0.0264,0.0749,-0.0792,0.1139,0.0,0.0,STREAM
2026-02-10T06:36:46.105427,0.0105,0.0696,-0.0463,0.1080,0.0,0.0,STREAM
2026-02-10T06:36:46.298054,0.0176,0.0337,-0.0225,0.0977,0.0,0.0,STREAM
2026-02-10T06:36:46.492193,0.0278,0.0179,0.0218,0.0826,0.0,0.0,STREAM
2026-02-10T06:36:46.686250,-0.0205,0.0291,0.0260,0.0691,0.0,0.0,STREAM
2026-02-10T06:36:46.878298,-0.0054,0.0566,0.0132,0.0629,0.0,0.0,STREAM
2026-02-10T06:36:47.072293,0.0164,0.0196,0.0618,0.0506,0.0,0.0,STREAM
2026-02-10T06:36:47.264091,0.1003,0.0362,0.1194,0.0476,0.0,0.0,STREAM
2026-02-10T06:36:47.460229,0.0513,-0.0130,0.0327,0.0432,0.0,0.0,STREAM
2026-02-10T06:36:47.655678,0.0620,-0.0657,0.0633,0.0392,0.0,0.0,STREAM
2026-02-10T06:36:47.845325,0.0095,-0.0539,0.0348,0.0336,0.0,0.0,STREAM
2026-02-10T06:36:48.041478,-0.0061,-0.0280,-0.0032,0.0269,0.0,0.0,STREAM
2026-02-10T06:36:51.142111,-0.0711,-0.1187,0.0691,0.1013,0.0,0.0,STREAM
2026-02-10T06:36:51.336199,-0.0306,-0.1218,0.0664,0.1070,0.0,0.0,STREAM
2026-02-10T06:36:51.527852,-0.0185,-0.0896,0.1294,0.1139,0.0,0.0,STREAM
2026-02-10T06:36:51.723540,-0.0176,-0.0602,0.1642,0.1209,0.0,0.0,STREAM
2026-02-10T06:36:51.915189,-0.0346,-0.0596,0.0844,0.1189,0.0,0.0,STREAM
2026-02-10T06:36:52.110748,-0.0176,-0.0710,-0.0001,0.1086,0.0,0.0,STREAM
2026-02-10T06:36:52.303683,-0.0564,-0.0495,-0.0171,0.0979,0.0,0.0,STREAM
2026-02-10T06:36:52.497128,-0.0383,-0.0964,0.0035,0.0961,0.0,0.0,STREAM
2026-02-10T06:36:52.691276,-0.0515,-0.0882,0.0102,0.0955,0.0,0.0,STREAM
2026-02-10T06:36:52.885207,-0.0430,-0.0581,0.0207,0.0919,0.0,0.0,STREAM
2026-02-10T06:36:53.077582,-0.0095,-0.1028,0.0636,0.0957,0.0,0.0,STREAM
2026-02-10T06:36:53.273498,0.0083,-0.0840,0.1985,0.1077,0.0,0.0,STREAM
2026-02-10T06:36:53.464348,-0.0466,-0.0778,0.0151,0.1034,0.0,0.0,STREAM
2026-02-10T06:36:53.660915,-0.0016,-0.0595,0.0159,0.0963,0.0,0.0,STREAM
2026-02-10T06:36:53.853699,-0.0247,-0.0996,0.0723,0.1006,0.0,0.0,STREAM
2026-02-10T06:36:54.047574,-0.0188,-0.1109,0.1155,0.1093,0.0,0.0,STREAM
2026-02-10T06:36:54.241613,0.0287,-0.1254,0.1338,0.1190,0.0,0.0,STREAM
2026-02-10T06:36:54.435565,-0.0059,-0.0765,0.1735,0.1272,0.0,0.0,STREAM
2026-02-10T06:36:54.628328,-0.0193,-0.0513,0.1320,0.1281,0.0,0.0,STREAM
2026-02-10T06:36:54.822721,-0.0678,-0.0125,0.0736,0.1201,0.0,0.0,STREAM
2026-02-10T06:36:55.014307,-0.0593,-0.0376,-0.0407,0.1031,0.0,0.0,STREAM
2026-02-10T06:36:55.207561,-0.0883,-0.0884,0.0231,0.1031,0.0,0.0,STREAM
2026-02-10T06:36:55.402041,-0.0639,-0.1787,0.0928,0.1185,0.0,0.0,STREAM
2026-02-10T06:36:55.597395,-0.0496,-0.1476,0.0360,0.1230,0.0,0.0,STREAM
2026-02-10T06:36:55.790857,-0.0601,-0.0876,0.0010,0.1183,0.0,0.0,STREAM
2026-02-10T06:36:55.986637,-0.0510,-0.1040,-0.0091,0.1157,0.0,0.0,STREAM
2026-02-10T06:36:56.178782,-0.0251,-0.1396,0.0434,0.1199,0.0,0.0,STREAM
2026-02-10T06:36:56.371846,-0.0161,-0.1088,0.0072,0.1173,0.0,0.0,STREAM
2026-02-10T06:36:56.563562,-0.0270,-0.1292,0.0363,0.1200,0.0,0.0,STREAM
2026-02-10T06:36:56.760199,-0.0474,-0.1294,0.0200,0.1226,0.0,0.0,STREAM
2026-02-10T06:36:56.951197,-0.0036,-0.1254,0.0219,0.1225,0.0,0.0,STREAM
